Company,Year,Industry,Accruals_Ratio,Leverage_Ratio,Leverage_Change_YoY,Operating_Margin,Margin_Volatility_3yr
PREMIERENE,2024,Capital Goods,0.046670417565515855,0.3962475932517749,0.033868184218587505,0.29971634020498217,
PREMIERENE,2025,Capital Goods,-0.13980148230444253,0.2855716520239157,-0.11067594122785918,0.3062908606426159,0.004648887984500362
PREMIERENE,2026,Capital Goods,-0.07358232379210058,0.341834749365137,0.05626309734122131,0.29008482938694624,0.008150928052299205
PRESTIGE,2017,Realty,-0.014806716497724332,0.34101793205071834,,,
PRESTIGE,2018,Realty,-0.03704800952254993,0.3923026054754662,0.05128467342474785,,
PRESTIGE,2019,Realty,-0.012186500944321936,0.29848662298518275,-0.09381598249028344,,
PRESTIGE,2020,Realty,-0.06185350165048973,0.31454296871024323,0.016056345725060484,,
PRESTIGE,2021,Realty,0.03756633571849751,0.19512263143635755,-0.11942033727388568,,
PRESTIGE,2022,Realty,-0.032809651652248854,0.24567299724901395,0.0505503658126564,,
PRESTIGE,2023,Realty,-0.016478684131443492,0.25970814229510547,0.014035145046091518,,
PRESTIGE,2024,Realty,-0.02667278108975695,0.28052695209905365,0.02081880980394818,0.35243275914173466,
PRESTIGE,2025,Realty,0.0015780372925069844,0.22631527433637436,-0.054211677762679295,0.22207302587408975,0.09217825138722129
PRESTIGE,2026,Realty,-0.04103169163529277,0.24255851613975474,0.01624324180338038,0.3174834585622967,0.06747624808572061
PTCIL,2015,Capital Goods,-0.04085725028199022,0.1541546559719263,,,
PTCIL,2016,Capital Goods,-0.037509266123054115,0.2953792933036818,0.1412246373317555,,
PTCIL,2017,Capital Goods,-0.018621307072515667,0.4359892569382274,0.1406099636345456,,
PTCIL,2021,Capital Goods,0.0005534730433470018,0.45548315680897633,,,
PTCIL,2022,Capital Goods,-0.028263574262306627,0.46064461607079976,0.005161459261823431,,
PTCIL,2023,Capital Goods,-0.03794400636620126,0.3194675540765391,-0.14117706199426067,,
PTCIL,2024,Capital Goods,0.12339228295819936,0.20308592354412291,-0.11638163053241618,0.2278840406455469,
PTCIL,2025,Capital Goods,0.0030053540761693113,0.03840665723810486,-0.16467926630601806,0.15887610107374783,0.04879598202693062
PTCIL,2026,Capital Goods,0.05001916932907348,0.13359744408945687,0.09519078685135202,0.2549009384775808,0.04951898270839205
PVRINOX,2017,Media Entertainment & Publication,-0.10060320571022752,0.3683869865784482,,,
PVRINOX,2018,Media Entertainment & Publication,-0.1369360161822634,0.353671883317364,-0.014715103261084217,,
PVRINOX,2019,Media Entertainment & Publication,-0.166609377685421,0.33394007572561707,-0.01973180759174692,,
PVRINOX,2020,Media Entertainment & Publication,-0.1022837271482558,0.1743039970273716,-0.15963607869824548,,
PVRINOX,2021,Media Entertainment & Publication,-0.044670314655718246,0.6669128281690516,0.49260883114168,,
PVRINOX,2022,Media Entertainment & Publication,-0.08944440499664087,0.7094965125107192,0.042583684341667594,,
PVRINOX,2023,Media Entertainment & Publication,-0.0727835614775245,0.4887789480074058,-0.22071756450331342,,
PVRINOX,2024,Media Entertainment & Publication,-0.11553898571148254,0.4937357664841209,0.004956818476715086,0.3072264601409189,
PVRINOX,2025,Media Entertainment & Publication,-0.11510835608688165,0.4781073967480875,-0.015628369736033376,0.337946694058496,0.021722485722755713
PVRINOX,2026,Media Entertainment & Publication,-0.13475272701651905,0.4342153302204032,-0.04389206652768429,0.3257921341388238,0.015471211705336432
PWL,2022,Consumer Services,0.2269548633184997,,,,
PWL,2023,Consumer Services,-0.16897826536351793,0.4596676105360825,,,
