Company,Year,Industry,Accruals_Ratio,Leverage_Ratio,Leverage_Change_YoY,Operating_Margin,Margin_Volatility_3yr,Anomaly_Score,Is_Anomaly
DIXON,2020,Consumer Durables,-0.0688525363002074,0.0510736847067697,-0.0436642164905338,,0.006957110708254,-0.20724343868510914,0
DRREDDY,2021,Healthcare,-0.0608810774826142,0.1139917029927147,0.0188200434955717,,0.018909635366554302,-0.207243518162808,0
IRCON,2020,Construction,0.0609988723739475,,-0.0014410977528105,,0.00811929390513665,-0.20725575167370364,0
HUDCO,2017,Financial Services,0.0874466973655947,0.7167465914911519,-0.0006671917563533,,0.0213614188746349,-0.2072683944560934,0
PIIND,2017,Chemicals,0.0523985400191187,0.0521899713218041,-0.0058768642923029,,0.02157821562095625,-0.20729533854617832,0
WOCKPHARMA,2018,Healthcare,-0.0832645347513838,0.4611231619705226,-0.001999586293776,,0.018909635366554302,-0.2073520566354079,0
RAINBOW,2017,Healthcare,-0.010483021517781,0.0661333199578672,-0.0036016930944258,,0.018909635366554302,-0.2073586118028174,0
GRANULES,2017,Healthcare,-0.0126256174416624,0.3494400442854709,-0.0036016930944258,,0.018909635366554302,-0.2073586118028174,0
ERIS,2021,Healthcare,-0.0113262082409088,0.0037978086979901,-0.0036016930944258,,0.018909635366554302,-0.2073586118028174,0
LAURUSLABS,2019,Healthcare,-0.0612093576169477,0.3109789594709398,-0.0138473419425158,,0.018909635366554302,-0.20739774545795775,0
ELECON,2023,Capital Goods,-0.0413959349781487,0.0298170971396859,-0.0583603892857985,,0.0147344734730676,-0.20741183312717654,0
JYOTICNC,2020,Capital Goods,-0.0573059762602646,0.4960089387527072,0.0321420722148346,,0.0147344734730676,-0.20745280103639302,0
FSL,2026,Services,-0.1147753904111089,0.3199837921895876,-0.0112032947546603,0.1656262500596358,0.0081656758498912,-0.20745341302982517,0
MANAPPURAM,2024,Financial Services,0.0798283816324622,0.7341481148568995,-0.0041713975586378,0.5348084946791056,0.0213614188746349,-0.2074539169880929,0
CUB,2020,Financial Services,-0.0273439267230779,0.8618911627628282,0.0017536604649365,,0.0213614188746349,-0.20747866881967464,0
