symbol,company_name,status,data_type,timestamp,notes
CPPLUS,Aditya Infotech Ltd.,success,consolidated,2026-09-15T11:59:08.429060,32 KB
AEGISLOG,Aegis Logistics Ltd.,success,consolidated,2026-09-15T11:59:29.804694,33 KB
AEGISVOPAK,Aegis Vopak Terminals Ltd.,success,consolidated,2026-09-15T11:59:50.976099,31 KB
AFCONS,Afcons Infrastructure Ltd.,success,consolidated,2026-09-15T12:00:12.053732,32 KB
AFFLE,Affle 3i Ltd.,success,consolidated,2026-09-15T12:00:33.520933,32 KB
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,success,consolidated,2026-09-15T12:00:54.893982,33 KB
ALKEM,Alkem Laboratories Ltd.,success,consolidated,2026-09-15T12:01:16.454995,33 KB
ABDL,Allied Blenders and Distillers Ltd.,success,consolidated,2026-09-15T12:01:37.587012,32 KB
ARE&M,Amara Raja Energy & Mobility Ltd.,success,consolidated,2026-09-15T12:01:59.514671,32 KB
AMBER,Amber Enterprises India Ltd.,success,consolidated,2026-09-15T12:02:21.000165,33 KB
AMBUJACEM,Ambuja Cements Ltd.,success,consolidated,2026-09-15T12:02:42.398984,33 KB
ANANDRATHI,Anand Rathi Wealth Ltd.,success,consolidated,2026-09-15T12:03:03.315143,32 KB
ANANTRAJ,Anant Raj Ltd.,success,consolidated,2026-09-15T12:03:24.590181,32 KB
ANGELONE,Angel One Ltd.,success,consolidated,2026-09-15T12:03:45.637852,32 KB
ANTHEM,Anthem Biosciences Ltd.,success,consolidated,2026-09-15T12:04:06.861679,32 KB
ANURAS,Anupam Rasayan India Ltd.,success,consolidated,2026-09-15T12:04:27.753972,32 KB
APARINDS,Apar Industries Ltd.,success,consolidated,2026-09-15T12:04:49.203321,33 KB
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,success,consolidated,2026-09-15T12:05:10.697027,32 KB
APOLLOTYRE,Apollo Tyres Ltd.,success,consolidated,2026-09-15T12:05:32.049310,33 KB
APTUS,Aptus Value Housing Finance India Ltd.,success,consolidated,2026-09-15T12:05:53.226331,32 KB
ASAHIINDIA,Asahi India Glass Ltd.,success,consolidated,2026-09-15T12:06:14.976294,33 KB
ASHOKLEY,Ashok Leyland Ltd.,success,consolidated,2026-09-15T12:06:36.338807,33 KB
ASIANPAINT,Asian Paints Ltd.,success,consolidated,2026-09-15T12:06:57.713496,33 KB
ASTERDM,Aster DM Quality Care Ltd.,success,consolidated,2026-09-15T12:07:19.084950,33 KB
ASTRAL,Astral Ltd.,success,consolidated,2026-09-15T12:07:40.450524,32 KB
ATHERENERG,Ather Energy Ltd.,success,consolidated,2026-09-15T12:08:01.132505,30 KB
ATUL,Atul Ltd.,success,consolidated,2026-09-15T12:08:22.479018,33 KB
AUROPHARMA,Aurobindo Pharma Ltd.,success,consolidated,2026-09-15T12:08:43.886643,33 KB
AIIL,Authum Investment & Infrastructure Ltd.,success,consolidated,2026-09-15T12:09:04.747654,31 KB
DMART,Avenue Supermarts Ltd.,success,consolidated,2026-09-15T12:09:25.940368,33 KB
AXISBANK,Axis Bank Ltd.,success,consolidated,2026-09-15T12:09:47.222455,33 KB
BEML,BEML Ltd.,success,consolidated,2026-09-15T12:10:08.567589,32 KB
BLS,BLS International Services Ltd.,success,consolidated,2026-09-15T12:10:29.699671,32 KB
BSE,BSE Ltd.,success,consolidated,2026-09-15T12:10:50.896756,32 KB
BAJAJ-AUTO,Bajaj Auto Ltd.,success,consolidated,2026-09-15T12:11:12.183291,33 KB
BAJFINANCE,Bajaj Finance Ltd.,success,consolidated,2026-09-15T12:11:33.625908,33 KB
BAJAJFINSV,Bajaj Finserv Ltd.,success,consolidated,2026-09-15T12:11:55.082052,33 KB
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,success,consolidated,2026-09-15T12:12:16.389336,32 KB
BAJAJHFL,Bajaj Housing Finance Ltd.,success,auto,2026-09-15T15:00:16.109795,32 KB
BALKRISIND,Balkrishna Industries Ltd.,success,consolidated,2026-09-15T12:13:13.584670,33 KB
BALRAMCHIN,Balrampur Chini Mills Ltd.,success,consolidated,2026-09-15T12:13:34.250106,33 KB
BANDHANBNK,Bandhan Bank Ltd.,success,auto,2026-09-15T15:00:37.538688,32 KB
BANKBARODA,Bank of Baroda,success,consolidated,2026-09-15T12:14:32.271734,33 KB
BANKINDIA,Bank of India,success,consolidated,2026-09-15T12:14:53.669948,33 KB
MAHABANK,Bank of Maharashtra,success,consolidated,2026-09-15T12:15:15.315249,33 KB
BATAINDIA,Bata India Ltd.,success,consolidated,2026-09-15T12:15:36.664332,32 KB
BAYERCROP,Bayer Cropscience Ltd.,success,consolidated,2026-09-15T12:15:57.468360,30 KB
BELRISE,Belrise Industries Ltd.,success,consolidated,2026-09-15T12:16:18.740008,32 KB
BERGEPAINT,Berger Paints India Ltd.,success,consolidated,2026-09-15T12:16:40.178503,33 KB
BDL,Bharat Dynamics Ltd.,success,auto,2026-09-15T15:00:59.018839,33 KB
BEL,Bharat Electronics Ltd.,success,consolidated,2026-09-15T12:17:37.256688,33 KB
BHARATFORG,Bharat Forge Ltd.,success,consolidated,2026-09-15T12:17:59.150215,33 KB
BHEL,Bharat Heavy Electricals Ltd.,success,consolidated,2026-09-15T12:18:20.688771,33 KB
BPCL,Bharat Petroleum Corporation Ltd.,success,consolidated,2026-09-15T12:18:42.314107,33 KB
BHARTIARTL,Bharti Airtel Ltd.,success,consolidated,2026-09-15T12:19:03.412067,33 KB
BHARTIHEXA,Bharti Hexacom Ltd.,failed,-,2026-09-15T15:01:36.189580,retry failed on all URL patterns
BIKAJI,Bikaji Foods International Ltd.,success,consolidated,2026-09-15T12:20:00.336369,32 KB
GROWW,Billionbrains Garage Ventures Ltd.,success,consolidated,2026-09-15T12:20:21.302385,31 KB
BIOCON,Biocon Ltd.,success,consolidated,2026-09-15T12:20:42.786664,32 KB
BSOFT,Birlasoft Ltd.,success,consolidated,2026-09-15T12:21:04.045424,33 KB
BLUEDART,Blue Dart Express Ltd.,success,consolidated,2026-09-15T12:21:25.321321,32 KB
BLUEJET,Blue Jet Healthcare Ltd.,success,consolidated,2026-09-15T12:21:46.178604,30 KB
BLUESTARCO,Blue Star Ltd.,success,consolidated,2026-09-15T12:22:07.962949,33 KB
BBTC,Bombay Burmah Trading Corporation Ltd.,success,consolidated,2026-09-15T12:22:29.485101,33 KB
BOSCHLTD,Bosch Ltd.,success,consolidated,2026-09-15T12:22:50.940674,32 KB
FIRSTCRY,Brainbees Solutions Ltd.,success,consolidated,2026-09-15T12:23:12.458195,32 KB
BRIGADE,Brigade Enterprises Ltd.,success,consolidated,2026-09-15T12:23:33.910523,33 KB
BRITANNIA,Britannia Industries Ltd.,success,consolidated,2026-09-15T12:23:55.329056,33 KB
MAPMYINDIA,C.E. Info Systems Ltd.,success,consolidated,2026-09-15T12:24:16.475700,32 KB
CCL,CCL Products (I) Ltd.,success,consolidated,2026-09-15T12:24:37.723470,33 KB
CESC,CESC Ltd.,success,consolidated,2026-09-15T12:24:59.312765,33 KB
CGPOWER,CG Power and Industrial Solutions Ltd.,success,consolidated,2026-09-15T12:25:20.116880,33 KB
CIEINDIA,CIE Automotive India Ltd.,success,consolidated,2026-09-15T12:25:40.979536,33 KB
CRISIL,CRISIL Ltd.,success,consolidated,2026-09-15T12:26:02.649937,32 KB
CANFINHOME,Can Fin Homes Ltd.,success,auto,2026-09-15T15:01:57.852287,32 KB
CANBK,Canara Bank,success,consolidated,2026-09-15T12:26:59.750665,33 KB
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,success,auto,2026-09-15T15:02:19.025713,31 KB
CAPLIPOINT,Caplin Point Laboratories Ltd.,success,consolidated,2026-09-15T12:27:57.019166,33 KB
CGCL,Capri Global Capital Ltd.,success,consolidated,2026-09-15T12:28:18.343533,32 KB
CARBORUNIV,Carborundum Universal Ltd.,success,consolidated,2026-09-15T12:28:39.554693,33 KB
CARTRADE,Cartrade Tech Ltd.,success,consolidated,2026-09-15T12:29:00.738256,32 KB
CASTROLIND,Castrol India Ltd.,failed,-,2026-09-15T15:02:24.215656,retry failed on all URL patterns
CEATLTD,Ceat Ltd.,success,consolidated,2026-09-15T12:29:58.573144,33 KB
CEMPRO,Cemindia Projects Ltd.,success,consolidated,2026-09-15T12:30:20.384634,33 KB
